framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,8192,0.01179
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,16384,0.01189
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,32768,0.01224
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,65536,0.01266
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,131072,0.01275
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,262144,0.01299
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,524288,0.01307
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,1048576,0.01327
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,2097152,0.01446
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,4194304,0.01772
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,8388608,0.02517
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,16777216,0.0518
TRTLLM,2.27.7,NVIDIA GB300,reduce_scatter,NCCL,int8,4,33554432,0.0571
